车辆品牌,款式,车型,排量,手动/自动,版型,上牌时间,行驶里程（万公里）,现价（万元）,购车原价（万元）,,,,,,,,,,
日产逍客,2012款,逍客,1.6,手动,XE 风 两驱,2012年3月,7,8.2,15.2,,,,,,,,,,
日产颐达,2008款,颐达,1.6,自动,JE 智能型,2010年1月,8.3,5.8,13.8,,,,,,,,,,
现代ix35,2013款,,2,自动,GLS 两驱智能型,2013年9月,3.3,13.5,21.4,,,,,,,,,,
福特福克斯,2009款,福克斯-三厢,1.8,手动,舒适型,2009年12月,12.2,4.35,12.9,,,,,,,,,,
沃尔沃XC60,2013款,,2.0T,双离合,T5 智雅版(进口),2013年4月,4.7,28.5,51.5,,,,,,,,,,
大众迈腾,2011款,迈腾,1.8TSI,双离合,舒适版,2011年7月,8.2,11.5,24.6,,,,,,,,,,
东南V3菱悦,2011款,,1.5,手动,豪华版,2011年8月,7.2,3.3,7.5,,,,,,,,,,
中华尊驰,2008款,,1.8,手动,豪华版,2008年4月,17.6,2.3,13.5,,,,,,,,,,
大众速腾,2012款,速腾,1.4TSI,双离合,豪华版,2012年5月,9.7,10.9,18.2,,,,,,,,,,
大众迈腾,2012款,迈腾,2.0TSI,双离合,尊贵版,2012年9月,3.5,18,29,,,,,,,,,,
奥迪A3,2014款,A3 Sportback,1.4TFSI,双离合,35TFSI 舒适型,2015年1月,2.4,18.3,27,,,,,,,,,,
奥迪A6L,2012款,A6L,2.5FSI,无级,30FSI 技术型,2013年12月,7,29.5,47,,,,,,,,,,
宝马X5,2014款,X5 xDrive35i,3.0T,自动,豪华型(进口),2014年7月,1,80,106.9,,,,,,,,,,
宝马X1,2010款,X1 sDrive18i,2,自动,豪华型(进口),2011年6月,6.6,17.8,39.8,,,,,,,,,,
马自达6,2011款,6,2,自动,时尚版,2012年4月,10.9,8.3,19.5,,,,,,,,,,
福特福克斯,2009款,福克斯-三厢,1.8,手动,舒适型,2008年12月,8.4,4,12.9,,,,,,,,,,
沃尔沃S60L,2015款,,2.0T,自动,T5 智驭版,2015年2月,2.8,26,37,,,,,,,,,,
雪佛兰乐风,2010款,,1.4,手动,SE 风度版,2010年7月,11.3,3.2,8.9,,,,,,,,,,
斯柯达晶锐,2012款,晶锐,1.4,手动,晶致版,2011年11月,2,4.2,8.6,,,,,,,,,,
现代新胜达,2011款,,2.4,自动,5座两驱舒适版(进口),2011年10月,9,13.5,24.6,,,,,,,,,,
标致408,2010款,,2,自动,豪华版,2010年8月,9.7,6,16.9,,,,,,,,,,
大众迈腾,2009款,迈腾,1.8TSI,双离合,舒适版,2010年1月,10.8,9.9,24.6,,,,,,,,,,
日产逍客,2008款,逍客,2,无级,20X 雷 两驱,2009年2月,12.3,8,20.5,,,,,,,,,,
别克GL8,2011款,,3,自动,XT 旗舰版,2012年3月,7.7,23.5,42.1,,,,,,,,,,
大众速腾,2014款,速腾,1.4TSI,手动,豪华型,2014年4月,4.7,11.2,16.7,,,,,,,,,,
福特探险者,2013款,探险者,3.5,自动,尊享型(进口),2014年9月,1.6,41,58.6,,,,,,,,,,
雪佛兰科鲁兹,2009款,,1.6,手动,SE,2010年4月,8.5,5.38,13,,,,,,,,,,
奥迪A6L,2011款,A6L,2.4,无级,舒适型,2011年9月,10.1,21.2,51.6,,,,,,,,,,
奔驰C级,2015款,C300,2.0T,自动,运动版,2015年7月,2,39.5,49.8,,,,,,,,,,
大众迈腾,2012款,迈腾,1.8TSI,双离合,豪华版,2011年11月,4.2,14.3,25.3,,,,,,,,,,
别克君威,2010款,,1.6T,手动,精英运动版,2010年6月,3.5,9.5,22.5,,,,,,,,,,
大众速腾,2014款,速腾,1.4TSI,双离合,豪华型(改款),2015年1月,2.7,13.5,18.2,,,,,,,,,,
大众桑塔纳,2008款,桑塔纳,1.8,手动,实尚版,2009年1月,9.3,3.5,10.3,,,,,,,,,,
凯迪拉克SRX,2013款,,3,自动,精英型(进口),2013年9月,2,30,51,,,,,,,,,,
宝马5系,2012款,530Li,3,自动,豪华型,2012年7月,3.7,35,68.3,,,,,,,,,,
MINIClubman,2011款,One Clubman,1.6,自动,(进口),2013年6月,2.5,15.8,26.6,,,,,,,,,,
日产天籁,2015款,,2.5,无级,XL Upper 欧冠科技版,2015年6月,1.5,18.2,23.2,,,,,,,,,,
起亚索兰托,2009款,,2.4,自动,5座汽油至尊版(进口),2010年12月,11.8,13.5,29.1,,,,,,,,,,
丰田雅力士,2011款,雅力士,1.6E,自动,魅动版,2010年12月,7.9,4.4,10.3,,,,,,,,,,
雪铁龙世嘉,2011款,世嘉-两厢,1.6,手动,悦雅型,2011年5月,11,4.7,13.1,,,,,,,,,,
现代索纳塔,2011款,第八代索纳塔,2,自动,TOP 顶级型,2012年2月,6.1,12.6,25.3,,,,,,,,,,
大众速腾,2012款,速腾,1.6,手动,舒适版,2012年11月,7.4,8.8,15.1,,,,,,,,,,
福特嘉年华,2013款,嘉年华-两厢,1.5,手动,风尚型,2013年11月,2.5,5.5,8.7,,,,,,,,,,
路虎神行者2代,2014款,,2.0T,自动,Si4 HSE 汽油版(进口),2014年6月,6.7,38,58.4,,,,,,,,,,
奥迪Q7,2012款,Q7,3.0TFSI,自动,进取型 200kw(进口),2011年9月,8.5,42,89.1,,,,,,,,,,
奇瑞QQ3,2009款,,0.8,手动,启航版,2010年12月,3.5,1.2,3.7,,,,,,,,,,
奇瑞QQ3,2012款,,1,手动,时尚版启航型,2012年12月,1.3,2,3.9,,,,,,,,,,
绅宝,2013款,,2.0T,自动,精英版,2015年3月,6.3,10.2,18,,,,,,,,,,
奇瑞旗云,2008款,,1.5,手动,豪华版,2009年10月,2.9,1.95,6.1,,,,,,,,,,
大众CC,2010款,CC,2.0TSI,双离合,豪华版,2010年11月,10,15,30.2,,,,,,,,,,
日产奇骏,2012款,奇骏,2.5,无级,XL 豪华版,2013年8月,4.7,15.6,26,,,,,,,,,,
奔驰S级,2012款,S300L ,3,自动,商务型 Grand Edition(进口),2013年3月,3.5,59,100.9,,,,,,,,,,
长安商用欧诺,2012款,,1.5,手动,运动精英型,2012年10月,5.5,3,6.1,,,,,,,,,,
Jeep牧马人,2012款,,3.6,自动,四门,2012年4月,7.8,34,53.2,,,,,,,,,,
雪佛兰爱唯欧-三厢,2011款,,1.6,手动,SX,2012年8月,4.7,5.5,10.8,,,,,,,,,,
奥迪A3,2014款,A3 Limousine,1.4TFSI,双离合,35TFSI时尚型,2016年6月,0.4,18.5,24.4,,,,,,,,,,
丰田汉兰达,2012款,汉兰达,2.7,自动,两驱5座精英版,2013年6月,10.3,17.7,27,,,,,,,,,,
宝马3系,2013款,328i,2.0T,自动,运动型设计套装(进口),2013年4月,5,26.5,46.3,,,,,,,,,,
大众途观,2012款,途观,1.8TSI,自动,两驱风尚版,2013年4月,4.5,17,25.4,,,,,,,,,,
奥迪A4,2014款,A4 Allroad Quattro,2.0T,双离合,40TFSI(进口),2013年12月,4.2,29,51,,,,,,,,,,
大众甲壳虫,2013款,甲壳虫,1.4TSI,双离合,舒适型(进口),2013年7月,7.4,15.3,30.4,,,,,,,,,,
奥迪TT,2011款,TT Roadster,2.0TFSI,双离合,Quattro(进口),2011年8月,5.2,25.2,64.3,,,,,,,,,,
雪铁龙世嘉,2009款,世嘉-三厢,1.6,手动,时尚型,2010年8月,7,4.5,11.8,,,,,,,,,,
奥迪A6L,2012款,A6L,2.5FSI,无级,30FSI 技术型,2013年7月,8.3,28.2,47,,,,,,,,,,
大众迈腾,2011款,迈腾,1.4TSI,双离合,标准版,2010年11月,5.9,10.3,21,,,,,,,,,,
起亚K3,2013款,,1.6,自动,DLX,2013年10月,3.6,9,14.3,,,,,,,,,,
宝马5系,2014款,525Li,2.0T,自动,风尚设计套装,2013年11月,6.8,35.8,54.2,,,,,,,,,,
标致408,2011款,,2,手动,豪华版,2012年1月,9.4,6.3,15.6,,,,,,,,,,
路虎揽胜极光,2015款,,2.0T,自动,耀动版(进口),2014年9月,3.1,45,68.2,,,,,,,,,,
奥迪A6L,2010款,A6L,2.4,无级,舒适型,2010年1月,12.1,18.5,51.6,,,,,,,,,,
奇瑞QQ3,2009款,,1,手动,,2010年12月,4.7,1.4,4,,,,,,,,,,
宝马1系,2010款,120i,2,自动,巧克力个性版(进口),2010年8月,11.7,10.9,32.5,,,,,,,,,,
马自达6,2011款,6,2,自动,时尚版,2011年10月,9.9,8,19.5,,,,,,,,,,
大众捷达,2013款,捷达,1.6,手动,时尚型,2014年5月,4.4,6.5,9.6,,,,,,,,,,
奔驰C级,2009款,C200K,1.8T,自动,标准型,2010年2月,5.7,15.8,37.8,,,,,,,,,,
福特锐界,2012款,锐界,2.0T,自动,精锐型(进口),2015年6月,3.7,24.6,31.8,,,,,,,,,,
奥迪A6L,2015款,A6L,2.0TFSI,无级,百万纪念智领型,2015年4月,4.7,31.8,43.2,,,,,,,,,,
保时捷卡宴,2015款,卡宴S,3.6T,自动,(进口),2015年4月,5.6,121,148.6,,,,,,,,,,
现代途胜,2013款,,2,手动,GL两驱时尚型,2013年8月,5.5,9.2,18.4,,,,,,,,,,
福特蒙迪欧,2012款,蒙迪欧致胜,2.0T,双离合,旗舰运动型,2013年1月,3.8,13.6,27.9,,,,,,,,,,
宝马5系,2014款,525Li,2.0T,自动,豪华设计套装,2014年8月,6.5,39,54.2,,,,,,,,,,
现代新胜达,2013款,,2.4,自动,GLS 两驱智能型5座,2013年8月,4.8,18.7,27.1,,,,,,,,,,
奇瑞瑞虎,2012款,,1.6,手动,DVVT 精英版舒适型,2013年8月,6.7,5.2,9.7,,,,,,,,,,
宝马3系,2012款,320i,2,自动,时尚型,2012年3月,5.8,16.8,38.1,,,,,,,,,,
大众迈腾,2015款,迈腾,1.8TSI,双离合,豪华型,2015年7月,2.3,19,25.3,,,,,,,,,,
路虎揽胜,2015款,,3.0T,自动,V6 SC Vogue SE 创世加长版(进口),2015年7月,2.3,155,191.9,,,,,,,,,,
宝马5系,2013款,525Li,2.0T,自动,领先型,2013年8月,6.4,30.8,49.9,,,,,,,,,,
宝骏乐驰,2012款,,1.2,手动,运动版优越型,2013年6月,8.5,2.5,4.6,,,,,,,,,,
现代新胜达,2013款,,2.4,自动,GLS四驱智能型5座,2014年10月,1.9,20.5,28.2,,,,,,,,,,
福特蒙迪欧,2013款,蒙迪欧,2.0T,自动,GTDi200 时尚型,2014年4月,3.2,16.8,22,,,,,,,,,,
别克英朗,2013款,英朗GT,1.6,手动,进取版,2013年8月,7,8.2,14.9,,,,,,,,,,
马自达3,2010款,3,1.6,自动,经典款 时尚版,2010年10月,8.7,5.5,13.3,,,,,,,,,,
大众迈腾,2009款,迈腾,1.8TSI,双离合,舒适版,2010年9月,5.4,10.8,24.6,,,,,,,,,,
福特福克斯,2012款,福克斯-三厢,1.6,双离合,风尚型,2012年12月,4.6,8.2,15.6,,,,,,,,,,
现代ix35,2012款,,2,自动,GLS两驱精英型,2013年3月,7.4,13.5,21.3,,,,,,,,,,
大众途安,2011款,途安,1.4TSI,手动,5座智尚版,2012年12月,9.4,9,16.3,,,,,,,,,,
宝马5系,2013款,530Li,3,自动,领先型,2012年12月,4.4,33,60.7,,,,,,,,,,
大众高尔夫,2012款,高尔夫6,1.4TSI,双离合,豪华版,2012年2月,7.5,10.5,18.2,,,,,,,,,,
斯柯达昊锐,2009款,昊锐,1.8TSI,自动,尊雅版,2010年12月,6.9,10.48,25.6,,,,,,,,,,
雪铁龙C5,2013款,C5,2,自动,尊享型,2014年2月,0.9,14,20.6,,,,,,,,,,
丰田RAV4,2012款,RAV4,2,自动,经典版,2012年9月,6.1,13.6,21.5,,,,,,,,,,
别克英朗,2013款,英朗XT,1.6,自动,时尚版,2013年9月,5.8,8.2,16.3,,,,,,,,,,
丰田汉兰达,2013款,汉兰达,2.7,自动,紫金版7座,2014年6月,4.5,26.8,35.7,,,,,,,,,,
MINI,2012款,Mini Cooper S,1.6T,自动,Fun(进口),2013年7月,1.8,18.6,34.6,,,,,,,,,,
现代ix35,2010款,,2,自动,GLS四驱尊贵型,2010年8月,5.7,10.5,23.4,,,,,,,,,,
捷豹XJ,2014款,XJL,3.0T,自动,SC四驱全景商务版(进口),2014年1月,5.5,65,118.1,,,,,,,,,,
雪铁龙凯旋,2008款,凯旋,2,手动,精英型,2008年12月,13.1,3.3,16.3,,,,,,,,,,
本田歌诗图,2012款,歌诗图,2.4,自动,豪华版,2014年1月,8.1,17.3,28.2,,,,,,,,,,
凯迪拉克SRX,2013款,,3,自动,豪华型(进口),2013年7月,3.4,29.8,54.1,,,,,,,,,,
荣威550,2010款,,1.8,自动,DVVT世博风尚版,2010年10月,8.2,5.5,15.2,,,,,,,,,,
宝马5系,2012款,535Li,3.0T,自动,领先型,2012年4月,6.6,34,69.4,,,,,,,,,,
宝马5系,2014款,GT535i,3.0T,自动,设计套装(进口),2014年3月,4.3,58.8,108.4,,,,,,,,,,
雪佛兰景程,2011款,,1.8,自动,SX豪华版,2010年12月,7.9,6,16.8,,,,,,,,,,
日产逍客,2010款,逍客,2,无级,20X雷 两驱,2010年12月,2.6,9.88,20.5,,,,,,,,,,
别克凯越,2008款,,1.6,自动,舒适版,2009年3月,8.3,4.4,12.8,,,,,,,,,,
比亚迪S6,2014款,,1.5TI,手动,尊贵型,2014年11月,2.5,7.5,10.6,,,,,,,,,,
雪铁龙C4,2014款,C4L,1.6THP,自动,智驱版劲智型,2014年5月,5,10.9,18.4,,,,,,,,,,
福特蒙迪欧,2011款,蒙迪欧致胜,2.0T,双离合,GTDi200 时尚型,2012年2月,2.7,11.8,21.7,,,,,,,,,,
雷克萨斯GS,2011款,GS300,3,自动,辉煌版(进口),2011年12月,12.6,27,70.4,,,,,,,,,,
奥迪A8L,2014款,,3.0TFSI,自动,45TFSI quattro个性运动型,2014年3月,9,58,100.6,,,,,,,,,,
MINICountryman,2011款,Cooper Countryman,1.6T,自动,(进口),2013年4月,8.2,21.5,40.8,,,,,,,,,,
福特蒙迪欧,2013款,蒙迪欧,2.0T,自动,GTDi200时尚型,2015年10月,1.4,17.5,22,,,,,,,,,,
大众迈腾,2015款,迈腾,1.8TSI,双离合,领先型,2015年6月,4.3,17.6,23.9,,,,,,,,,,
长安商用星光4500,2012款,,1.3,手动,标准型,2014年11月,5.7,3.5,6,,,,,,,,,,
奔驰S级,2012款,S300L ,3,自动,商务型 Grand Edition(进口),2013年9月,8,67,100.9,,,,,,,,,,
比亚迪S7,2015款,,2.0TID,双离合,旗舰型,2015年5月,5.4,10.9,15.2,,,,,,,,,,
Jeep大切诺基,2012款,,3.6,自动,旗舰尊崇版(进口),2012年4月,8.5,39.8,78.1,,,,,,,,,,
奔驰C级,2008款,C200K,1.8T,自动,时尚型,2009年8月,9.3,13.8,42.9,,,,,,,,,,
奔驰C级,2008款,C200K,1.8T,自动,时尚型,2009年8月,9.3,13.8,42.9,,,,,,,,,,
大众Polo,2009款,POLO 劲情,1.6,自动,Sporty,2010年4月,7,5.5,11.7,,,,,,,,,,
哈弗H6,2015款,H6 Coupe,2.0T,双离合,两驱尊贵型,2015年12月,0.3,15.2,18.6,,,,,,,,,,
起亚狮跑,2009款,,2,自动,GLS两驱,2010年4月,3,8.5,20,,,,,,,,,,
斯柯达昊锐,2009款,昊锐,1.8TSI,自动,贵雅版,2010年3月,8.8,9.3,23.4,,,,,,,,,,
凯迪拉克凯雷德 油电混合,2010款,,6,无级,(进口),2011年5月,5.8,60,151.7,,,,,,,,,,
雷克萨斯ES,2010款,ES240,2.4,自动,典雅版(进口),2011年5月,13.2,17.2,42.3,,,,,,,,,,
大众桑塔纳,2008款,桑塔纳,1.8,手动,舒适版,2011年8月,8.9,5,10.8,,,,,,,,,,
标致408,2011款,,2,自动,舒适版,2012年5月,4.8,7.5,15.4,,,,,,,,,,
大众速腾,2014款,速腾,1.4TSI,双离合,豪华型,2014年5月,3.6,13,18.2,,,,,,,,,,
SmartFortwo,2013款,Coupe,1,自动,MHD城市游侠特别版(进口),2013年7月,2.7,8,15.2,,,,,,,,,,
奔驰GLK级,2013款,GLK300 4MATIC,3,自动,动感天窗型,2014年11月,2.5,38,47.5,,,,,,,,,,
大众途观,2012款,途观,1.8TSI,自动,四驱菁英版,2012年8月,2.9,19,29.5,,,,,,,,,,
沃尔沃S80L,2012款,,2.0T,双离合,T5智雅版,2012年9月,4.1,20,44,,,,,,,,,,
捷豹XF,2013款,XF,3.0T,自动,V6 SC 风华版(进口),2013年11月,2.1,37,69.3,,,,,,,,,,
现代途胜,2009款,,2,手动,两驱时尚型,2009年7月,2.8,9.6,18.4,,,,,,,,,,
大众速腾,2014款,速腾,1.6,自动,舒适型(改款),2014年5月,6,11.2,16.4,,,,,,,,,,
奥迪Q5,2010款,Q5,2.0TFSI,双离合,舒适型,2010年10月,11.7,23.8,51.6,,,,,,,,,,
现代名图,2014款,,1.8,自动,DLX 尊贵版,2015年3月,4.1,13,17.3,,,,,,,,,,
比亚迪F6,2009款,,2,手动,新财富版 GL-I 舒适型,2009年5月,11.6,2.5,9.7,,,,,,,,,,
奔驰CLK级,2006款,CLK280 Coupe,3,自动,(进口),2009年8月,8.8,15,81.4,,,,,,,,,,
本田锋范,2009款,锋范,1.5,自动,精英版,2009年2月,15,5.5,12.7,,,,,,,,,,
铃木天语SX4-两厢,2013款,,1.6,自动,酷锐款 运动型,2013年7月,2.6,7.3,12.9,,,,,,,,,,
宝马X3,2009款,X3 xDrive20i,2.5,自动,豪华增配型(进口),2010年8月,11.7,20,63.1,,,,,,,,,,
奔驰CLA级,2015款,CLA200,1.6T,双离合,(进口),2015年7月,0.5,28,31,,,,,,,,,,
大众迈腾,2013款,迈腾,2.0TSI,双离合,尊贵版,2013年3月,6.5,18.3,29.1,,,,,,,,,,
丰田锐志,2008款,锐志,2.5S,自动,特别纪念版,2009年1月,12,9.5,26.1,,,,,,,,,,
宝马1系,2012款,118i,1.6T,自动,运动型(进口),2013年11月,1,19.8,33.2,,,,,,,,,,
丰田汉兰达,2009款,汉兰达,2.7,自动,两驱7座精英版,2010年10月,10.9,15.3,28.5,,,,,,,,,,
长安商用长安之星2,2009款,,1,手动,标准型,2011年11月,12,1.7,4.6,,,,,,,,,,
马自达6,2014款,6,2,自动,经典型,2014年11月,3,10.5,15.2,,,,,,,,,,
路虎揽胜运动版,2014款,,3.0T,自动,V6 SC 锋尚创世版(进口),2014年11月,4.1,95,123.5,,,,,,,,,,
雪铁龙爱丽舍,2008款,爱丽舍-三厢,1.6,手动,标准型,2009年1月,12.4,2.8,8,,,,,,,,,,
标致508,2013款,,2,自动,两周款纪念智享版,2014年8月,3.4,13.9,22.2,,,,,,,,,,
福田风景,2014款,快捷,2,手动,舒适型短轴低顶486EQV4B,2014年12月,3.2,5.5,8.3,,,,,,,,,,
宝马X5,2011款,X5 xDrive35i,3.0T,自动,豪华型(进口),2012年1月,3.7,51,109.1,,,,,,,,,,
日产天籁,2011款,天籁·公爵,2.5,无级,XV尊雅版,2011年2月,11,13,28.7,,,,,,,,,,
大众朗逸,2013款,朗逸,1.6,手动,舒适版,2012年12月,6.9,8,13.7,,,,,,,,,,
日产天籁,2013款,天籁,2.5,无级,XL领先型,2013年11月,6.5,15,22.3,,,,,,,,,,
奔驰GLK级,2013款,GLK300 4MATIC,3,自动,时尚型(改款),2014年3月,8,38,52.6,,,,,,,,,,
别克GL8,2014款,,3,自动,XT旗舰版,2015年8月,0.4,35,43.4,,,,,,,,,,
奥迪TT,2011款,TT Coupe,2.0TFSI,双离合,Quattro(进口),2012年12月,1.5,28,59.3,,,,,,,,,,
本田思域,2009款,思域,1.8,自动,EXi舒适版,2009年10月,11.3,6.3,16.3,,,,,,,,,,
雪佛兰乐风,2010款,,1.4,手动,SE风度版,2010年3月,10.1,3.2,8.9,,,,,,,,,,
标致3008,2013款,,1.6THP,自动,至尚版,2013年5月,8.9,12.8,23.3,,,,,,,,,,
福特蒙迪欧,2013款,蒙迪欧,2.0T,自动,GTDi200豪华型,2014年8月,2.8,17.5,24.2,,,,,,,,,,
斯柯达明锐,2009款,明锐,1.6,手动,逸致版,2009年3月,8,5.2,13.6,,,,,,,,,,
别克君威,2010款,,2,自动,世博版,2011年7月,9,10.5,22.1,,,,,,,,,,
奔驰CLA级,2014款,CLA260 4MATIC,2.0T,双离合,(进口),2014年7月,2.1,34,41,,,,,,,,,,
奔驰SLK级,2011款,SLK200,1.8T,自动,时尚型(进口),2014年6月,1.8,38.5,63.8,,,,,,,,,,
宝马Z4,2013款,Z4 sDrive20i,2.0T,自动,领先型(进口),2014年4月,2.4,39,63.3,,,,,,,,,,
本田思铂睿,2009款,思铂睿,2.4,自动,尊贵型,2010年4月,9.8,11,27.1,,,,,,,,,,
本田思铂睿,2013款,思铂睿,2.4,自动,VTI豪华版,2014年3月,3.7,15.5,25.8,,,,,,,,,,
福特福克斯,2012款,福克斯-两厢,1.6,双离合,风尚型,2014年4月,5.6,9.9,15.6,,,,,,,,,,
别克君威,2009款,,2.0T,自动,豪华运动版,2009年11月,12.6,9.57,27.8,,,,,,,,,,
别克君威GS,2013款,,2.0T,自动,纵情运动版,2013年7月,1.5,17.8,30.8,,,,,,,,,,
大众宝来,2013款,宝来,1.6,自动,豪华版,2013年9月,6.6,9,14.8,,,,,,,,,,
长城M4,2012款,,1.5,手动,两驱豪华版,2013年5月,3.1,4.7,7.4,,,,,,,,,,
奥迪A4L,2013款,A4L,2.0TFSI,无级,35TFSI技术型,2012年11月,7.3,22,40.1,,,,,,,,,,
大众捷达,2008款,捷达,1.6,手动,GIF前卫,2009年12月,13.1,3.5,9.5,,,,,,,,,,
宝马1系,2008款,120i,2,自动(进口),,2010年12月,6,10.8,31.3,,,,,,,,,,
福特福克斯,2012款,福克斯-两厢,2,手动,豪华运动型,2012年7月,5.2,8.3,16.5,,,,,,,,,,
大众迈腾,2013款,迈腾,1.8TSI,双离合,尊贵版,2014年3月,3.9,19.98,27.4,,,,,,,,,,
路虎揽胜,2014款,,3.0T,自动,V6 SC Vogue(进口),2014年11月,5.1,118,169.1,,,,,,,,,,
别克GL8,2014款,,2.4,自动,经典版,2014年9月,3.2,16.9,22.7,,,,,,,,,,
三菱翼神,2013款,,1.8,手动,致尚版豪华型,2014年5月,4.7,8.4,13.8,,,,,,,,,,
东风风行景逸,2010款,,1.8,手动,标准型,2010年10月,9.7,2.7,9.3,,,,,,,,,,
江淮和悦,2012款,,1.5,手动,豪华运动型,2013年1月,4.2,4,7.7,,,,,,,,,,
MINIMini,2015款,Mini Cooper,1.5T,自动,Fun(进口),2015年5月,0.8,22,29.2,,,,,,,,,,
比亚迪F6,2010款,,2,手动,黄金版 尊贵型,2010年8月,13.2,3,11.9,,,,,,,,,,
大众CC,2013款,CC,2.0TSI,双离合,尊贵版,2013年4月,3.6,18.9,29.1,,,,,,,,,,
宝马5系,2013款,525Li,2.0T,自动,豪华型,2013年7月,3.6,35,53.7,,,,,,,,,,
奔驰E级,2015款,E260L,2.0T,自动,运动豪华型,2015年1月,1.4,43,59.6,,,,,,,,,,
丰田RAV4,2011款,RAV4,2,自动,豪华版,2012年3月,8,14.3,24.9,,,,,,,,,,
凯迪拉克SRX,2014款,,3.0SIDI,自动,四驱豪华型(进口),2014年7月,4.8,33,54.1,,,,,,,,,,
大众迈腾,2013款,迈腾,2.0TSI,双离合,尊贵版,2014年1月,3.5,19.5,29.1,,,,,,,,,,
别克GL8,2014款,,3,自动,XT旗舰版,2014年4月,1.1,32.98,43.4,,,,,,,,,,
现代伊兰特,2008款,悦动,1.6,手动,豪华型,2009年8月,7.3,4.5,11.9,,,,,,,,,,
大众迈腾,2013款,迈腾,1.8TSI,双离合,领先版,2013年10月,5,17,23.9,,,,,,,,,,
陆风X5,2013款,,2.0T,手动,两驱创领版,2013年11月,4.5,6.8,12.6,,,,,,,,,,
丰田兰德酷路泽,2015款,,4.6L,V8,60周年纪念版,2015年10月,2.3,82,,,,,,,,,,,
大众甲壳虫,2013款,甲壳虫,1.2TSI,双离合,时尚型(进口),2013年11月,4.2,13.8,21.6,,,,,,,,,,
别克GL8,2014款,,3,自动,XT旗舰版,2015年6月,1,36.5,43.4,,,,,,,,,,
奥迪A8L,2013款,,3.0TFSI,自动,45TFSI quattro个性运动型,2013年7月,3.5,63.8,120.3,,,,,,,,,,
宝马X3,2013款,X3 xDrive20i,2.0T,自动,豪华型(进口),2013年3月,7.5,34,54.2,,,,,,,,,,
现代新胜达,2013款,,2.4,自动,DLX四驱尊贵型7座,2013年8月,7.1,19.5,31.1,,,,,,,,,,
奥迪A6L,2012款,A6L,2.0TFSI,无级,标准型,2013年2月,5.4,28.8,44.5,,,,,,,,,,
斯巴鲁力狮,2010款,,2.5i,无级,豪华导航版(进口),2010年1月,11.9,13,32,,,,,,,,,,
大众途安,2013款,途安,1.4TSI,双离合,7座豪华睿智版,2014年7月,2.2,15.2,22.1,,,,,,,,,,
奔驰M级,2014款,ML320 4MATIC,3.0T,自动,(进口),2014年10月,1.3,63,87.7,,,,,,,,,,
现代ix35,2012款,,2,自动,GLS四驱尊贵型,2013年4月,1.8,14,23.4,,,,,,,,,,
宝马X1,2013款,X1 sDrive18i,2,自动,时尚型,2013年4月,13.8,17.3,30.9,,,,,,,,,,
现代ix35,2013款,,2,自动,GLS两驱智能型,2014年1月,5.1,13.5,21.4,,,,,,,,,,
斯柯达昊锐,2009款,昊锐,1.8TSI,手动,智雅版,2011年12月,7.2,9.9,19.5,,,,,,,,,,
马自达睿翼,2010款,睿翼,2,自动,豪华版,2010年2月,9.5,9.2,21.1,,,,,,,,,,
比亚迪S6,2013款,,2,手动,精英型,2013年11月,8.5,6.2,10.5,,,,,,,,,,
中华H530,2012款,,1.6,手动,舒适版,2012年11月,10.3,4.5,9.3,,,,,,,,,,
大众速腾,2012款,速腾,1.4TSI,双离合,豪华版,2012年12月,2.9,11,18.2,,,,,,,,,,
大众迈腾,2009款,迈腾,1.8TSI,双离合,舒适版,2009年8月,13.6,9.5,24.6,,,,,,,,,,
斯巴鲁傲虎,2014款,,2.5i,无级,雅尚运动版(进口),2014年11月,4.7,25,33.2,,,,,,,,,,
大众迈腾,2010款,迈腾,1.4TSI,双离合,精英版,2011年5月,11.8,10,22.1,,,,,,,,,,
宝马3系,2011款,320i,2,自动,时尚型,2012年3月,12.6,16.8,37.4,,,,,,,,,,
宝马7系,2013款,730Li,3,自动,豪华型(进口),2014年1月,4.8,59.8,111.1,,,,,,,,,,
铃木奥拓,2013款,,1,手动,豪华版,2013年1月,6.4,3,5.5,,,,,,,,,,
宝马5系,2013款,525Li,2.0T,自动,豪华型,2013年6月,5.7,36,53.7,,,,,,,,,,
现代新胜达,2012款,,2.4,自动,5座两驱舒适版(进口),2012年10月,4.2,15,24.8,,,,,,,,,,
大众途锐,2011款,,3.0TSI,自动,V6标配型（进口）,2012年6月,9.8,40.8,79.8,,,,,,,,,,
别克君威,2013款,,1.6T,自动,精英运动版,2013年3月,3.1,13.5,22.8,,,,,,,,,,
长安悦翔V3,2012款,,1.3,手动,豪华版,2014年9月,4.3,3.3,5.3,,,,,,,,,,
奥迪Q7,2011款,Q7,3.0TFSI,自动,舒适型200kw(进口),2011年11月,11,43.5,102.9,,,,,,,,,,
宝马5系,2014款,520Li,2.0T,自动,典雅型,2013年11月,3.6,33,47.3,,,,,,,,,,
奔驰GLK级,2013款,GLK300 4MATIC,3,自动,动感型,2013年10月,6.3,34,45.4,,,,,,,,,,
别克昂科拉,2014款,,1.4T,自动,两驱都市领先型,2014年6月,3.6,11.7,19.2,,,,,,,,,,
奥迪A4L,2010款,A4L,2.0TFSI,无级,132kw舒适型,2011年4月,11,16.5,35.8,,,,,,,,,,
标致508,2012款,,2.3,自动,智享版,2012年12月,8.6,12,23.3,,,,,,,,,,
